from_stop_id,to_stop_id,from_name,to_name,distance_m,travel_time_s,transport_type
1,2,Gare de Dakar,Colobane,2364.35,85.12,TER
1,3,Gare de Dakar,Hann,5015.31,180.55,TER
1,4,Gare de Dakar,Dalifort,6579.34,236.86,TER
1,5,Gare de Dakar,Baux Maraîchers,7716.14,277.78,TER
1,6,Gare de Dakar,Pikine,9293.89,334.58,TER
1,7,Gare de Dakar,Thiaroye,10835.98,390.1,TER
1,8,Gare de Dakar,Yeumbeul,12863.98,463.1,TER
1,9,Gare de Dakar,Keur Massar,14943.91,537.98,TER
1,10,Gare de Dakar,Mbao,16929.69,609.47,TER
1,11,Gare de Dakar,Rufisque,18125.97,652.53,TER
1,12,Gare de Dakar,Bargny,22160.99,797.8,TER
1,13,Gare de Dakar,Diamniadio,25712.81,925.66,TER
1,14,Gare de Dakar,Petersen,688.43,619.59,WALK
1,50,Gare de Dakar,Musée des Civilisations Noires,149.14,134.23,WALK
1,51,Gare de Dakar,Grand Théâtre National,415.54,373.99,WALK
1,53,Gare de Dakar,Embarcadère Port,704.49,634.04,WALK
2,1,Colobane,Gare de Dakar,2364.35,85.12,TER
2,3,Colobane,Hann,2714.32,97.72,TER
2,4,Colobane,Dalifort,4469.28,160.89,TER
2,5,Colobane,Baux Maraîchers,5860.17,210.97,TER
2,6,Colobane,Pikine,7531.32,271.13,TER
2,7,Colobane,Thiaroye,9142.59,329.13,TER
2,8,Colobane,Yeumbeul,11411.31,410.81,TER
2,9,Colobane,Keur Massar,14207.74,511.48,TER
2,10,Colobane,Mbao,16668.97,600.08,TER
2,11,Colobane,Rufisque,18016.69,648.6,TER
2,12,Colobane,Bargny,22337.07,804.13,TER
2,13,Colobane,Diamniadio,25722.34,926.0,TER
2,65,Colobane,DDD_Arrêt_11,478.36,430.53,WALK
3,1,Hann,Gare de Dakar,5015.31,180.55,TER
3,2,Hann,Colobane,2714.32,97.72,TER
3,4,Hann,Dalifort,1972.14,71.0,TER
3,5,Hann,Baux Maraîchers,3648.72,131.35,TER
3,6,Hann,Pikine,5333.11,191.99,TER
3,7,Hann,Thiaroye,6959.43,250.54,TER
3,8,Hann,Yeumbeul,9438.61,339.79,TER
3,9,Hann,Keur Massar,12982.75,467.38,TER
3,10,Hann,Mbao,15924.12,573.27,TER
3,11,Hann,Rufisque,17414.73,626.93,TER
3,12,Hann,Bargny,21987.75,791.56,TER
3,13,Hann,Diamniadio,25142.82,905.14,TER
3,73,Hann,DDD_Arrêt_19,143.27,128.94,WALK
4,1,Dalifort,Gare de Dakar,6579.34,236.86,TER
4,2,Dalifort,Colobane,4469.28,160.89,TER
4,3,Dalifort,Hann,1972.14,71.0,TER
4,5,Dalifort,Baux Maraîchers,1752.45,63.09,TER
4,6,Dalifort,Pikine,3393.37,122.16,TER
4,7,Dalifort,Thiaroye,5008.76,180.32,TER
4,8,Dalifort,Yeumbeul,7533.01,271.19,TER
4,9,Dalifort,Keur Massar,11377.84,409.6,TER
4,10,Dalifort,Mbao,14550.17,523.81,TER
4,11,Dalifort,Rufisque,16107.97,579.89,TER
4,12,Dalifort,Bargny,20792.35,748.52,TER
4,13,Dalifort,Diamniadio,23794.18,856.59,TER
4,96,Dalifort,DDD_Arrêt_42,401.78,361.6,WALK
4,98,Dalifort,DDD_Arrêt_44,621.16,559.04,WALK
5,1,Baux Maraîchers,Gare de Dakar,7716.14,277.78,TER
5,2,Baux Maraîchers,Colobane,5860.17,210.97,TER
5,3,Baux Maraîchers,Hann,3648.72,131.35,TER
5,4,Baux Maraîchers,Dalifort,1752.45,63.09,TER
5,6,Baux Maraîchers,Pikine,1696.59,61.08,TER
