id,name,transport_type,latitude,longitude,zone,degree,geom_wkt
1,Gare de Dakar,TER,14.676798251,-17.434005878,Dakar Plateau,32,POINT (-17.434005878 14.676798251)
2,Colobane,TER,14.697883282,-17.436844952,Dakar,26,POINT (-17.436844952 14.697883282)
3,Hann,TER,14.721865888,-17.432140185,Hann Bel-Air,26,POINT (-17.432140185 14.721865888)
4,Dalifort,TER,14.73413467,-17.418897358,Pikine,28,POINT (-17.418897358 14.73413467)
5,Baux Maraîchers,TER,14.739668439,-17.403638693,Pikine,26,POINT (-17.403638693 14.739668439)
6,Pikine,TER,14.749712968,-17.391762487,Pikine,26,POINT (-17.391762487 14.749712968)
7,Thiaroye,TER,14.759177677,-17.380180304,Thiaroye,28,POINT (-17.380180304 14.759177677)
8,Yeumbeul,TER,14.764902339,-17.356484548,Yeumbeul,24,POINT (-17.356484548 14.764902339)
9,Keur Massar,TER,14.743817338,-17.313567215,Keur Massar,24,POINT (-17.313567215 14.743817338)
10,Mbao,TER,14.723157764,-17.28407566,Mbao,24,POINT (-17.28407566 14.723157764)
11,Rufisque,TER,14.715654732,-17.270339449,Rufisque,24,POINT (-17.270339449 14.715654732)
12,Bargny,TER,14.698207944,-17.22916715,Bargny,24,POINT (-17.22916715 14.698207944)
13,Diamniadio,TER,14.716136617,-17.198428375,Diamniadio,24,POINT (-17.198428375 14.716136617)
14,Petersen,BRT,14.676634337,-17.440403702,Plateau,16,POINT (-17.440403702 14.676634337)
15,Grande Mosquée,BRT,14.682312132,-17.444196217,Médina,14,POINT (-17.444196217 14.682312132)
16,Place de la Nation,BRT,14.695588858,-17.450222869,Colobane,14,POINT (-17.450222869 14.695588858)
17,Dial Diop,BRT,14.698832447,-17.453018396,Fann,16,POINT (-17.453018396 14.698832447)
18,Grand Dakar,BRT,14.704852552,-17.458138327,Grand Dakar,18,POINT (-17.458138327 14.704852552)
19,Liberté 1,BRT,14.709856937,-17.462375407,Liberté,16,POINT (-17.462375407 14.709856937)
20,Sacré Cœur,BRT,14.716861879,-17.466499827,Mermoz,20,POINT (-17.466499827 14.716861879)
21,Liberté 5,BRT,14.720742395,-17.46422072,Liberté,20,POINT (-17.46422072 14.720742395)
22,Liberté 6,BRT,14.726123722,-17.459346522,Liberté,18,POINT (-17.459346522 14.726123722)
23,Khar Yallah,BRT,14.732877149,-17.456214755,Grand Yoff,18,POINT (-17.456214755 14.732877149)
24,Scat Urbam,BRT,14.736748009,-17.455277561,Grand Yoff,16,POINT (-17.455277561 14.736748009)
25,Hyancinthe Thiandoum,BRT,14.741305679,-17.451589512,Grand Yoff,16,POINT (-17.451589512 14.741305679)
26,Grand Médine,BRT,14.74772004,-17.444738361,Parcelles,16,POINT (-17.444738361 14.74772004)
27,Police Parcelles,BRT,14.750868836,-17.439198155,Parcelles,18,POINT (-17.439198155 14.750868836)
28,Croisement 22,BRT,14.753654535,-17.433675511,Parcelles,18,POINT (-17.433675511 14.753654535)
29,Parcelles,BRT,14.762447491,-17.424631656,Parcelles,20,POINT (-17.424631656 14.762447491)
30,Ndingala,BRT,14.764473735,-17.419991395,Guédiawaye,18,POINT (-17.419991395 14.764473735)
31,Golf Sud,BRT,14.767267497,-17.413837229,Guédiawaye,20,POINT (-17.413837229 14.767267497)
32,Dalal Jamm,BRT,14.771527024,-17.408326935,Guédiawaye,20,POINT (-17.408326935 14.771527024)
33,Fith Mith,BRT,14.775270364,-17.405792664,Guédiawaye,20,POINT (-17.405792664 14.775270364)
34,Golf Nord,BRT,14.776218246,-17.398658357,Guédiawaye,16,POINT (-17.398658357 14.776218246)
35,Gueule Tapée,BRT,14.775665329,-17.392331887,Guédiawaye,14,POINT (-17.392331887 14.775665329)
36,Préfecture de Guédiawaye,BRT,14.772063808,-17.387142367,Guédiawaye,14,POINT (-17.387142367 14.772063808)
37,Plage Ouakam,POI,14.7158332,-17.4921322,Ouakam,2,POINT (-17.4921322 14.7158332)
38,Stade Iba Mar Diop,POI,14.6794137,-17.4467278,Plateau,10,POINT (-17.4467278 14.6794137)
39,Piscine Olympique,POI,14.6972146,-17.4618338,Fann,0,POINT (-17.4618338 14.6972146)
40,Université Amadou Makhtar Mbow,POI,14.733723,-17.1971829,Diamniadio,4,POINT (-17.1971829 14.733723)
41,Stade Abdoulaye Wade,POI,14.7321326,-17.201264,Diamniadio,4,POINT (-17.201264 14.7321326)
42,Dakar Arena,POI,14.7334502,-17.2126175,Diamniadio,4,POINT (-17.2126175 14.7334502)
43,Dakar Expo Centre,POI,14.7299676,-17.2189251,Diamniadio,2,POINT (-17.2189251 14.7299676)
44,Hôtel Courtyard,POI,14.7294977,-17.2064857,Diamniadio,4,POINT (-17.2064857 14.7294977)
45,Hôtel Radisson Diamniadio,POI,14.740667,-17.1963779,Diamniadio,2,POINT (-17.1963779 14.740667)
46,Hôtel Noom,POI,14.6965449,-17.4719967,Plateau,2,POINT (-17.4719967 14.6965449)
47,Hôtel Terrou Bi,POI,14.6771929,-17.467303,Corniche,2,POINT (-17.467303 14.6771929)
48,Hôtel Azalaï,POI,14.6757039,-17.4695341,Corniche,2,POINT (-17.4695341 14.6757039)
49,Hôtel Pullman,POI,14.6674822,-17.4311094,Plateau,4,POINT (-17.4311094 14.6674822)
