id,name,longitude,latitude,transport_type,zone,mode_label,geom_wkt
1,Gare de Dakar,-17.434005878,14.676798251,TER,Dakar Plateau,Train Express Régional,POINT (-17.434005878 14.676798251)
2,Colobane,-17.436844952,14.697883282,TER,Dakar,Train Express Régional,POINT (-17.436844952 14.697883282)
3,Hann,-17.432140185,14.721865888,TER,Hann Bel-Air,Train Express Régional,POINT (-17.432140185 14.721865888)
4,Dalifort,-17.418897358,14.73413467,TER,Pikine,Train Express Régional,POINT (-17.418897358 14.73413467)
5,Baux Maraîchers,-17.403638693,14.739668439,TER,Pikine,Train Express Régional,POINT (-17.403638693 14.739668439)
6,Pikine,-17.391762487,14.749712968,TER,Pikine,Train Express Régional,POINT (-17.391762487 14.749712968)
7,Thiaroye,-17.380180304,14.759177677,TER,Thiaroye,Train Express Régional,POINT (-17.380180304 14.759177677)
8,Yeumbeul,-17.356484548,14.764902339,TER,Yeumbeul,Train Express Régional,POINT (-17.356484548 14.764902339)
9,Keur Massar,-17.313567215,14.743817338,TER,Keur Massar,Train Express Régional,POINT (-17.313567215 14.743817338)
10,Mbao,-17.28407566,14.723157764,TER,Mbao,Train Express Régional,POINT (-17.28407566 14.723157764)
11,Rufisque,-17.270339449,14.715654732,TER,Rufisque,Train Express Régional,POINT (-17.270339449 14.715654732)
12,Bargny,-17.22916715,14.698207944,TER,Bargny,Train Express Régional,POINT (-17.22916715 14.698207944)
13,Diamniadio,-17.198428375,14.716136617,TER,Diamniadio,Train Express Régional,POINT (-17.198428375 14.716136617)
14,Petersen,-17.440403702,14.676634337,BRT,Plateau,Bus Rapid Transit,POINT (-17.440403702 14.676634337)
15,Grande Mosquée,-17.444196217,14.682312132,BRT,Médina,Bus Rapid Transit,POINT (-17.444196217 14.682312132)
16,Place de la Nation,-17.450222869,14.695588858,BRT,Colobane,Bus Rapid Transit,POINT (-17.450222869 14.695588858)
17,Dial Diop,-17.453018396,14.698832447,BRT,Fann,Bus Rapid Transit,POINT (-17.453018396 14.698832447)
18,Grand Dakar,-17.458138327,14.704852552,BRT,Grand Dakar,Bus Rapid Transit,POINT (-17.458138327 14.704852552)
19,Liberté 1,-17.462375407,14.709856937,BRT,Liberté,Bus Rapid Transit,POINT (-17.462375407 14.709856937)
20,Sacré Cœur,-17.466499827,14.716861879,BRT,Mermoz,Bus Rapid Transit,POINT (-17.466499827 14.716861879)
21,Liberté 5,-17.46422072,14.720742395,BRT,Liberté,Bus Rapid Transit,POINT (-17.46422072 14.720742395)
22,Liberté 6,-17.459346522,14.726123722,BRT,Liberté,Bus Rapid Transit,POINT (-17.459346522 14.726123722)
23,Khar Yallah,-17.456214755,14.732877149,BRT,Grand Yoff,Bus Rapid Transit,POINT (-17.456214755 14.732877149)
24,Scat Urbam,-17.455277561,14.736748009,BRT,Grand Yoff,Bus Rapid Transit,POINT (-17.455277561 14.736748009)
25,Hyancinthe Thiandoum,-17.451589512,14.741305679,BRT,Grand Yoff,Bus Rapid Transit,POINT (-17.451589512 14.741305679)
26,Grand Médine,-17.444738361,14.74772004,BRT,Parcelles,Bus Rapid Transit,POINT (-17.444738361 14.74772004)
27,Police Parcelles,-17.439198155,14.750868836,BRT,Parcelles,Bus Rapid Transit,POINT (-17.439198155 14.750868836)
28,Croisement 22,-17.433675511,14.753654535,BRT,Parcelles,Bus Rapid Transit,POINT (-17.433675511 14.753654535)
29,Parcelles,-17.424631656,14.762447491,BRT,Parcelles,Bus Rapid Transit,POINT (-17.424631656 14.762447491)
30,Ndingala,-17.419991395,14.764473735,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.419991395 14.764473735)
31,Golf Sud,-17.413837229,14.767267497,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.413837229 14.767267497)
32,Dalal Jamm,-17.408326935,14.771527024,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.408326935 14.771527024)
33,Fith Mith,-17.405792664,14.775270364,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.405792664 14.775270364)
34,Golf Nord,-17.398658357,14.776218246,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.398658357 14.776218246)
35,Gueule Tapée,-17.392331887,14.775665329,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.392331887 14.775665329)
36,Préfecture de Guédiawaye,-17.387142367,14.772063808,BRT,Guédiawaye,Bus Rapid Transit,POINT (-17.387142367 14.772063808)
